date,pollster,gb,con,lab,lib
28-Nov,Deltapoll,GB,0.42,0.35,0.12
28-Nov,Number Cruncher Politics,GB,0.4,0.45,0.03
20-Nov,Opinium,UK,0.43,0.38,0.06
06-Nov,Opinium,UK,0.44,0.45,0.04
06-Nov,Survation,UK,0.4,0.47,0.09
28-Oct,Ipsos MORI,GB,0.4,0.44,0.08
24-Oct,Deltapoll,GB,0.44,0.48,0.03
23-Oct,Opinium,UK,0.41,0.45,0.05
17-Oct,Number Cruncher Politics,GB,0.41,0.38,0.05
09-Oct,Opinium,UK,0.45,0.42,0.04
06-Oct,Survation,UK,0.44,0.41,0.05
25-Sep,Deltapoll,GB,0.46,0.36,0.08
25-Sep,Opinium,UK,0.41,0.47,0.03
18-Sep,Ipsos MORI,GB,0.46,0.38,0.08
16-Sep,Survation,UK,0.43,0.37,0.07
11-Sep,Opinium,GB,0.52,0.38,0.03
08-Sep,Number Cruncher Politics,GB,0.45,0.42,0.04
04-Sep,Survation,UK,0.42,0.41,0.09
28-Aug,Opinium,GB,0.5,0.4,0.04
21-Aug,Survation,UK,0.44,0.42,0.08
14-Aug,Opinium,GB,0.52,0.38,0.02
04-Aug,Ipsos MORI,GB,0.46,0.34,0.09
03-Aug,Survation,UK,0.49,0.41,0.04
31-Jul,Opinium,GB,0.47,0.4,0.05
24-Jul,Opinium,GB,0.45,0.38,0.07
17-Jul,Opinium,GB,0.55,0.36,0.05
12-Jul,Survation,UK,0.43,0.43,0.07
10-Jul,Opinium,GB,0.42,0.38,0.06
10-Jul,Deltapoll,GB,0.48,0.37,0.04
06-Jul,Survation,UK,0.43,0.37,0.04
03-Jul,Deltapoll,GB,0.46,0.33,0.03
03-Jul,Opinium,GB,0.47,0.37,0.07
26-Jun,Opinium,GB,0.51,0.4,0.05
25-Jun,Survation,UK,0.49,0.34,0.1
19-Jun,Opinium,GB,0.59,0.35,0.02
12-Jun,Opinium,GB,0.49,0.4,0.05
10-Jun,Survation,UK,0.61,0.28,0.08
10-Jun,Ipsos MORI,GB,0.49,0.38,0.09
05-Jun,Opinium,GB,0.41,0.47,0.05
05-Jun,Deltapoll,GB,0.5,0.4,0.02
03-Jun,Survation,UK,0.5,0.41,0.02
29-May,Opinium,GB,0.48,0.4,0.03
28-May,Deltapoll,GB,0.5,0.35,0.1
26-May,Survation,UK,0.52,0.38,0.04
22-May,Opinium,GB,0.51,0.33,0.08
14-May,Opinium,GB,0.52,0.39,0.05
07-May,Opinium,GB,0.51,0.36,0.03
01-May,Opinium,GB,0.55,0.34,0.05
28-Apr,Survation,UK,0.51,0.32,0.1
23-Apr,Opinium,GB,0.53,0.34,0.05
17-Apr,Opinium,GB,0.53,0.38,0.06
09-Apr,Opinium,GB,0.63,0.25,0.06
03-Apr,Opinium,GB,0.52,0.34,0.07
27-Mar,Opinium,GB,0.63,0.26,0.05
26-Mar,Number Cruncher Politics,GB,0.64,0.26,0.04
20-Mar,Opinium,GB,0.5,0.37,0.04
16-Mar,Ipsos MORI,GB,0.59,0.27,0.08
13-Mar,Opinium,GB,0.5,0.37,0.04
14-Feb,Opinium,GB,0.47,0.32,0.07
03-Feb,Ipsos MORI,GB,0.48,0.33,0.1
31-Jan,Survation,UK,0.48,0.31,0.11
17-Jan,Opinium,GB,0.48,0.35,0.03
